CODICESCUOLA,CONTESTOSENZADISTURBI,VICINANZADISCARICA,VICINANZAINDUSTRIEINQUINANTI,VICINANZAACQUEINQUINANTI,VICINANZAFONTIINQUINAMENTOATMOSFERICO,VICINANZAFONTIINQUINAMENTOACUSTICO,VICINANZASORGENTIRADIAZIONIELETTROMAGNETICHE,VICINANZACIMITERI,VICINANZAALTRIDISTURBI,CRITICITASPECIFICHEAREASCOLASTICA,ASSENZAPIAZZOLAADEGUATA,AREANONRECINTATA,PRESENZAGRANDETRAFFICO,PRESENZATRANSITOFERROVIARIO,PREESISTENZEINDUSTRIALIABBANDONATE,ZONAURBANADEGRADATA,VICINANZAINDUSTRIEARISCHIO,ANNORILEVAZIONE
RGTD03000T,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
CTRH03000C,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
TPTD03000E,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
RGPS01000R,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
TPMM044004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
TPMM05400P,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
MEPS010008,SI,NO,NO,NO,SI,SI,NO,NO,VICINANZA INCROCI E SVINCOLO AUTOSTRADALE,SI,SI,SI,SI,NO,SI,NO,NO,2022-2023
CTRH05000N,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,2022-2023
METF020001,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
CTMM00300T,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
AGPM02000Q,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
SRPC08000R,SI,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
PAMM00700N,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
TPTD02000X,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
CTMM099008,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
AGPC010001,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
MEPS03000D,SI,NO,NO,NO,SI,SI,NO,NO,NO,SI,NO,SI,NO,NO,NO,NO,NO,2022-2023
