"CodComune";"Comune";"Provincia";"TipoIstituto";"CodiceScuola";"Denominazione";"CodiceIstituto";"DenominazioneIstituto";"Alunni";"Hand";"Classi";"Ciclo";"annoScolastico";"ComuneIstituto";"CodComuneIstituto"
"084001";"AGRIGENTO";"AGRIGENTO";;"AGEE855038";"NUOVA MANHATTAN";"AGIC855004";"IC - RITA LEVI MONTALCINI";"143";"2";"8";"Primario";"2021-2022";"AGRIGENTO";"084001"
"084001";"AGRIGENTO";"AGRIGENTO";;"AGEE855049";"MONTESSORI";"AGIC855004";"IC - RITA LEVI MONTALCINI";"122";"3";"6";"Primario";"2021-2022";"AGRIGENTO";"084001"
"086002";"AIDONE";"ENNA";;"ENEE826042";"TENENTE BRUNO";"ENIC82600R";"FALCONE-CASCINO";"71";"0";"5";"Primario";"2021-2022";"PIAZZA ARMERINA";"086014"
"086002";"AIDONE";"ENNA";;"ENEE826053";"PLESSO N.SCOVAZZO";"ENIC82600R";"FALCONE-CASCINO";"59";"3";"4";"Primario";"2021-2022";"PIAZZA ARMERINA";"086014"
"081001";"ALCAMO";"TRAPANI";;"TPEE01201P";"PLESSO SAN GIOVANNI BOSCO";"TPEE01200N";"DIR. DID. SAN GIOVANNI BOSCO";"327";"18";"17";"Primario";"2021-2022";"ALCAMO";"081001"
"081001";"ALCAMO";"TRAPANI";;"TPEE01202Q";"PLESSO VITTORINO DA FELTRE";"TPEE01200N";"DIR. DID. SAN GIOVANNI BOSCO";"230";"6";"12";"Primario";"2021-2022";"ALCAMO";"081001"
"081001";"ALCAMO";"TRAPANI";;"TPEE810012";"PLESSO EUROPA";"TPIC81000X";"I.C. N.NAVARRA ALCAMO";"219";"15";"13";"Primario";"2021-2022";"ALCAMO";"081001"
"081001";"ALCAMO";"TRAPANI";;"TPEE81101T";"PLESSO S. D. SAVIO";"TPIC81100Q";"I.C. MARIA MONTESSORI";"111";"13";"7";"Primario";"2021-2022";"ALCAMO";"081001"
"081001";"ALCAMO";"TRAPANI";;"TPEE81102V";"PLESSO M. MONTESSORI";"TPIC81100Q";"I.C. MARIA MONTESSORI";"280";"8";"14";"Primario";"2021-2022";"ALCAMO";"081001"
"081001";"ALCAMO";"TRAPANI";;"TPEE81201N";"PLESSO L. PIRANDELLO";"TPIC81200G";"I.C. P.M. ROCCA ALCAMO";"174";"14";"11";"Primario";"2021-2022";"ALCAMO";"081001"
"081001";"ALCAMO";"TRAPANI";;"TPEE81202P";"PLESSO CIULLO";"TPIC81200G";"I.C. P.M. ROCCA ALCAMO";"41";"3";"3";"Primario";"2021-2022";"ALCAMO";"081001"
"081001";"ALCAMO";"TRAPANI";;"TPEE81203Q";"PLESSO LOMBARDO RADICE";"TPIC81200G";"I.C. P.M. ROCCA ALCAMO";"190";"11";"12";"Primario";"2021-2022";"ALCAMO";"081001"
"081001";"ALCAMO";"TRAPANI";;"TPEE83401E";"PLESSO G.GENTILE";"TPIC83400C";"I.C. S. BAGOLINO ALCAMO";"297";"11";"15";"Primario";"2021-2022";"ALCAMO";"081001"
"083001";"ALCARA LI FUSI";"MESSINA";;"MEEE88505A";"ALCARA LI FUSI";"MEIC885004";"N.2MARCONIS.AGATA MILIT.";"51";"2";"4";"Primario";"2021-2022";"SANT'AGATA DI MILITELLO";"083084"
"084002";"ALESSANDRIA DELLA ROCCA";"AGRIGENTO";;"AGEE812018";"CAPUANA";"AGIC812006";"IC - A. MANZONI";"74";"3";"5";"Primario";"2021-2022";"ALESSANDRIA DELLA ROCCA";"084002"
"083002";"ALI'";"MESSINA";;"MEEE83702T";"ALI'";"MEIC83700P";"ALI' TERME";"26";"1";"2";"Primario";"2021-2022";"ALI' TERME";"083003"
"083003";"ALI' TERME";"MESSINA";;"MEEE83701R";"ALI' TERME";"MEIC83700P";"ALI' TERME";"89";"6";"6";"Primario";"2021-2022";"ALI' TERME";"083003"
"082001";"ALIA";"PALERMO";;"PAEE82801Q";"I.C. ALIA/ROC./VAL- PIRANDELLO";"PAIC82800N";"I.C. ALIA/ROCCAPALUMBA/VALLEDOL";"133";"7";"8";"Primario";"2021-2022";"ALIA";"082001"
"082002";"ALIMENA";"PALERMO";;"PAEE82006A";"ALIMENA";"PAIC820003";"I.C. CASTELLANA S. /POLIZZI G.";"56";"4";"4";"Primario";"2021-2022";"CASTELLANA SICULA";"082024"
"082003";"ALIMINUSA";"PALERMO";;"PAEE825029";"SCUOLA PRIMARIA ALIMINUSA";"PAIC825006";"I.C. MONTEMAGGIORE BELSITO";"33";"2";"3";"Primario";"2021-2022";"MONTEMAGGIORE BELSITO";"082051"
"082004";"ALTAVILLA MILICIA";"PALERMO";;"PAEE81101A";"I.C. ALTAVILLA MILICIA";"PAIC811008";"I.C. ALTAVILLA MILICIA";"310";"16";"18";"Primario";"2021-2022";"ALTAVILLA MILICIA";"082004"
"082005";"ALTOFONTE";"PALERMO";;"PAEE84301T";"I.C. ALTOFONTE - E. DI CARLO";"PAIC84300Q";"I.C. ALTOFONTE - E. ARMAFORTE";"136";"5";"9";"Primario";"2021-2022";"ALTOFONTE";"082005"
"082005";"ALTOFONTE";"PALERMO";;"PAEE84302V";"DON MILANI";"PAIC84300Q";"I.C. ALTOFONTE - E. ARMAFORTE";"291";"7";"16";"Primario";"2021-2022";"ALTOFONTE";"082005"
