CodiceScuola,Alunni,Hand,Classi,annoScolastico
CLEE01101T,538,28,29,2021-2022
CLEE014019,409,26,21,2021-2022
CLEE01402A,216,3,10,2021-2022
CLEE01403B,17,0,1,2021-2022
CLEE810011,145,3,9,2021-2022
CLEE810022,109,9,6,2021-2022
CLEE81101R,150,9,9,2021-2022
CLEE81102T,220,10,12,2021-2022
CLEE823013,205,9,11,2021-2022
CLEE823024,90,6,5,2021-2022
CLEE823035,185,10,10,2021-2022
CLEE824042,75,5,5,2021-2022
CLEE824064,172,3,10,2021-2022
CLEE82701A,204,15,11,2021-2022
CLEE82703C,106,9,6,2021-2022
CLEE831012,230,10,12,2021-2022
CLEE831023,204,5,10,2021-2022
CLEE83201T,109,5,6,2021-2022
PAEE84504L,45,0,3,2021-2022
PAEE862017,123,2,7,2021-2022
MEEE83302E,89,4,5,2021-2022
MEEE83303G,67,4,4,2021-2022
MEEE83304L,70,3,4,2021-2022
MEEE83305N,97,3,6,2021-2022
RGEE80102G,87,2,5,2021-2022
CTEE8A0067,225,11,13,2021-2022
CTEE8AY01L,58,3,4,2021-2022
CTEE8AY02N,158,4,7,2021-2022
CTEE8AY03P,32,1,3,2021-2022
CTEE8AY04Q,151,5,8,2021-2022
CTEE8AY05R,132,6,6,2021-2022
CTEE8AY06T,50,4,4,2021-2022
CTEE8AZ04G,96,8,5,2021-2022
CTEE8AZ05L,219,15,13,2021-2022
CTEE8AZ06N,74,4,5,2021-2022
CTEE8AZ07P,95,3,5,2021-2022
CTEE8AZ08Q,185,5,9,2021-2022
TPEE829024,144,5,9,2021-2022
MEEE844021,136,4,10,2021-2022
MEEE844054,69,3,5,2021-2022
PAEE82303P,46,5,5,2021-2022
PAEE81703B,50,1,5,2021-2022
CTEE8AJ02V,186,13,9,2021-2022
CTEE8AJ03X,189,17,9,2021-2022
CTEE8AJ041,206,11,10,2021-2022
MEEE835037,55,3,5,2021-2022
PAEE8AJ03C,28,2,2,2021-2022
CTEE828017,506,29,26,2021-2022
CTEE8A4019,332,27,18,2021-2022
CTEE8BA01C,273,19,14,2021-2022
CTEE8BA02D,143,6,8,2021-2022
